MOVIE_ID,totCnt,MovieCd,MovieNm(csv),movieNm(api),showTm,prdtYear,openDt,typeNm,nationNm,genreNm,watchGrade
3639,1,20137051,카반호수의비밀,카반호수의 비밀,104,2013,,장편,러시아,액션,12세이상관람가
3640,0,,가문의영광4:가문의수난(2011),,,,,,,,
3641,4,,가루지기,,,,,,,,
3642,0,,펭귄:위대한모험2,,,,,,,,
3643,5,,딥블루씨,,,,,,,,
3644,1,2022A460,로이콘:악마의변호사,로이콘: 악마의 변호사,,2019,,온라인전용,미국,다큐멘터리,
3645,55,,플라스틱,,,,,,,,
3646,1,20162563,애더럴다이어리,애더럴 다이어리,86,2015,20160811,장편,미국,액션,청소년관람불가
3648,1,20173473,보이카:언디스퓨티드파이널,보이카: 언디스퓨티드 파이널,88,2016,20170929,장편,불가리아,액션,청소년관람불가
3649,0,,007네버다이,,,,,,,,
3650,1,20183125,지상최대전투:갈리폴리,지상최대전투:갈리폴리,105,2013,20180410,장편,터키,전쟁,12세이상관람가
3651,1,20172625,천사의시간,천사의 시간,103,2017,20180621,장편,한국,멜로/로맨스,12세이상관람가
3652,1,20149451,유오성의7인의암살단,유오성의 7인의 암살단,102,2013,20140716,장편,중국,액션,15세이상관람가
3653,1,20008347,익스트림리미트,익스트림 리미트,90,2000,,장편,미국,액션,15세관람가
3654,1,20188117,강변호텔,강변호텔,95,2018,20190327,장편,한국,드라마,15세이상관람가
3655,1,20206039,완벽한커플,완벽한 커플,97,2018,,장편,독일,멜로/로맨스,
3656,1,20164528,니트로러쉬,니트로 러쉬,97,2016,,장편,캐나다,액션,청소년관람불가
3657,2,,뜨거운녀석들,,,,,,,,
3658,0,,사쿠라다리셋:전편,,,,,,,,
3659,1,20140023,레드콜벳,레드 콜벳,101,2011,,장편,미국,스릴러,
3660,3,,블랙버드,,,,,,,,
3661,1,20156706,인히어런트바이스,인히어런트 바이스,148,2014,,장편,미국,코미디,
3662,1,19968331,디제스터,디제스터,92,1996,,장편,미국,코미디,
3664,1,20162146,던오브킹덤,던 오브 킹덤,92,2015,,장편,태국,액션,청소년관람불가
3666,0,,시실리2KM(2004),,,,,,,,
3667,2,,저스트프렌드,,,,,,,,
3668,1,20158318,먹고기도하고죽여라,먹고 기도하고 죽여라,99,2014,,장편,미국,공포(호러),
3669,1,20176861,판필로프사단의28용사,판필로프 사단의 28 용사,120,2016,20170615,장편,러시아,전쟁,15세이상관람가
3670,0,,토미웅거러스토리(2012),,,,,,,,
3671,4,,마스터마인드,,,,,,,,
3672,1,2022A678,야생마와죄수,야생마와 죄수,,2019,,온라인전용,프랑스,드라마,
3673,1,20113306,50/50,50/50,100,2011,20111124,장편,미국,코미디,15세이상관람가
3674,1,20171681,박화영,박화영,99,2018,20180719,장편,한국,드라마,청소년관람불가
